"instance_id";"provider_id";"schedule_date";"session";"location_id";"template_id";"generated_from_template";"notes"
56;1;"2025-09-03";"FD";17;232;1;""
57;16;"2025-09-03";"FD";91;337;1;""
58;15;"2025-09-03";"FD";91;338;1;""
59;7;"2025-09-03";"FD";128;357;1;""
60;12;"2025-09-03";"FD";162;360;1;""
61;4;"2025-10-01";"FD";2;27;1;""
62;2;"2025-10-01";"FD";2;28;1;""
63;6;"2025-10-01";"FD";4;71;1;""
64;8;"2025-10-01";"FD";6;131;1;""
65;5;"2025-10-01";"FD";6;132;1;""
66;13;"2025-10-01";"FD";8;180;1;""
67;10;"2025-10-01";"FD";10;198;1;""
68;11;"2025-10-01";"FD";11;214;1;""
69;9;"2025-10-01";"FD";11;215;1;""
70;3;"2025-10-01";"FD";11;216;1;""
71;1;"2025-10-01";"FD";17;232;1;""
72;16;"2025-10-01";"FD";91;337;1;""
73;15;"2025-10-01";"FD";91;338;1;""
74;7;"2025-10-01";"FD";128;357;1;""
75;12;"2025-10-01";"FD";162;360;1;""
76;4;"2025-12-03";"FD";2;27;1;""
77;2;"2025-12-03";"FD";2;28;1;""
78;6;"2025-12-03";"FD";4;71;1;""
79;8;"2025-12-03";"FD";6;131;1;""
80;5;"2025-12-03";"FD";6;132;1;""
81;13;"2025-12-03";"FD";8;180;1;""
82;10;"2025-12-03";"FD";10;198;1;""
83;11;"2025-12-03";"FD";11;214;1;""
84;9;"2025-12-03";"FD";11;215;1;""
85;3;"2025-12-03";"FD";11;216;1;""
86;1;"2025-12-03";"FD";17;232;1;""
87;16;"2025-12-03";"FD";91;337;1;""
88;15;"2025-12-03";"FD";91;338;1;""
89;7;"2025-12-03";"FD";128;357;1;""
90;12;"2025-12-03";"FD";162;360;1;""
91;2;"2025-01-02";"FD";1;2;1;""
92;5;"2025-01-02";"FD";2;17;1;""
93;1;"2025-01-02";"FD";2;18;1;""
94;8;"2025-01-02";"FD";4;63;1;""
95;4;"2025-01-02";"FD";4;64;1;""
96;16;"2025-01-02";"FD";6;114;1;""
97;13;"2025-01-02";"FD";6;115;1;""
98;9;"2025-01-02";"FD";6;116;1;"1/2 day"
99;17;"2025-01-02";"FD";6;117;1;""
100;10;"2025-01-02";"FD";8;174;1;""
101;7;"2025-01-02";"FD";36;292;1;"Gender"
102;6;"2025-01-02";"FD";50;304;1;""
103;11;"2025-01-02";"FD";70;324;1;""
104;12;"2025-01-02";"FD";102;352;1;""
105;15;"2025-01-02";"FD";228;369;1;""
106;3;"2025-01-02";"FD";228;370;1;""
107;2;"2025-04-03";"FD";1;2;1;""
108;5;"2025-04-03";"FD";2;17;1;""
109;1;"2025-04-03";"FD";2;18;1;""
110;8;"2025-04-03";"FD";4;63;1;""
111;4;"2025-04-03";"FD";4;64;1;""
112;16;"2025-04-03";"FD";6;114;1;""
113;13;"2025-04-03";"FD";6;115;1;""
114;9;"2025-04-03";"FD";6;116;1;"1/2 day"
115;17;"2025-04-03";"FD";6;117;1;""
116;10;"2025-04-03";"FD";8;174;1;""
117;7;"2025-04-03";"FD";36;292;1;"Gender"
118;6;"2025-04-03";"FD";50;304;1;""
119;11;"2025-04-03";"FD";70;324;1;""
120;12;"2025-04-03";"FD";102;352;1;""
121;15;"2025-04-03";"FD";228;369;1;""
122;3;"2025-04-03";"FD";228;370;1;""
123;2;"2025-05-01";"FD";1;2;1;""
124;5;"2025-05-01";"FD";2;17;1;""
125;1;"2025-05-01";"FD";2;18;1;""
126;8;"2025-05-01";"FD";4;63;1;""
127;4;"2025-05-01";"FD";4;64;1;""
128;16;"2025-05-01";"FD";6;114;1;""
129;13;"2025-05-01";"FD";6;115;1;""
130;9;"2025-05-01";"FD";6;116;1;"1/2 day"
131;17;"2025-05-01";"FD";6;117;1;""
132;10;"2025-05-01";"FD";8;174;1;""
133;7;"2025-05-01";"FD";36;292;1;"Gender"
134;6;"2025-05-01";"FD";50;304;1;""
135;11;"2025-05-01";"FD";70;324;1;""
136;12;"2025-05-01";"FD";102;352;1;""
137;15;"2025-05-01";"FD";228;369;1;""
138;3;"2025-05-01";"FD";228;370;1;""
139;2;"2025-07-03";"FD";1;2;1;""
140;5;"2025-07-03";"FD";2;17;1;""
141;1;"2025-07-03";"FD";2;18;1;""
142;8;"2025-07-03";"FD";4;63;1;""
143;4;"2025-07-03";"FD";4;64;1;""
144;16;"2025-07-03";"FD";6;114;1;""
145;13;"2025-07-03";"FD";6;115;1;""
146;9;"2025-07-03";"FD";6;116;1;"1/2 day"
147;17;"2025-07-03";"FD";6;117;1;""
148;10;"2025-07-03";"FD";8;174;1;""
149;7;"2025-07-03";"FD";36;292;1;"Gender"
150;6;"2025-07-03";"FD";50;304;1;""
151;11;"2025-07-03";"FD";70;324;1;""
152;12;"2025-07-03";"FD";102;352;1;""
153;15;"2025-07-03";"FD";228;369;1;""
154;3;"2025-07-03";"FD";228;370;1;""
155;2;"2025-09-04";"FD";1;2;1;""
156;5;"2025-09-04";"FD";2;17;1;""
157;1;"2025-09-04";"FD";2;18;1;""
158;8;"2025-09-04";"FD";4;63;1;""
159;4;"2025-09-04";"FD";4;64;1;""
160;16;"2025-09-04";"FD";6;114;1;""
161;13;"2025-09-04";"FD";6;115;1;""
162;9;"2025-09-04";"FD";6;116;1;"1/2 day"
163;17;"2025-09-04";"FD";6;117;1;""
164;10;"2025-09-04";"FD";8;174;1;""
165;7;"2025-09-04";"FD";36;292;1;"Gender"
166;6;"2025-09-04";"FD";50;304;1;""
167;11;"2025-09-04";"FD";70;324;1;""
168;12;"2025-09-04";"FD";102;352;1;""
169;15;"2025-09-04";"FD";228;369;1;""
170;3;"2025-09-04";"FD";228;370;1;""
171;2;"2025-10-02";"FD";1;2;1;""
172;5;"2025-10-02";"FD";2;17;1;""
173;1;"2025-10-02";"FD";2;18;1;""
174;8;"2025-10-02";"FD";4;63;1;""
175;4;"2025-10-02";"FD";4;64;1;""
176;16;"2025-10-02";"FD";6;114;1;""
177;13;"2025-10-02";"FD";6;115;1;""
178;9;"2025-10-02";"FD";6;116;1;"1/2 day"
179;17;"2025-10-02";"FD";6;117;1;""
180;10;"2025-10-02";"FD";8;174;1;""
181;7;"2025-10-02";"FD";36;292;1;"Gender"
182;6;"2025-10-02";"FD";50;304;1;""
183;11;"2025-10-02";"FD";70;324;1;""
184;12;"2025-10-02";"FD";102;352;1;""
185;15;"2025-10-02";"FD";228;369;1;""
186;3;"2025-10-02";"FD";228;370;1;""
187;2;"2025-12-04";"FD";1;2;1;""
188;5;"2025-12-04";"FD";2;17;1;""
189;1;"2025-12-04";"FD";2;18;1;""
190;8;"2025-12-04";"FD";4;63;1;""
191;4;"2025-12-04";"FD";4;64;1;""
192;16;"2025-12-04";"FD";6;114;1;""
193;13;"2025-12-04";"FD";6;115;1;""
194;9;"2025-12-04";"FD";6;116;1;"1/2 day"
195;17;"2025-12-04";"FD";6;117;1;""
196;10;"2025-12-04";"FD";8;174;1;""
197;7;"2025-12-04";"FD";36;292;1;"Gender"
198;6;"2025-12-04";"FD";50;304;1;""
199;11;"2025-12-04";"FD";70;324;1;""
200;12;"2025-12-04";"FD";102;352;1;""
201;15;"2025-12-04";"FD";228;369;1;""
202;3;"2025-12-04";"FD";228;370;1;""
203;9;"2025-01-03";"FD";2;8;1;""
204;8;"2025-01-03";"FD";4;53;1;""
205;6;"2025-01-03";"FD";4;54;1;"0730-1700"
206;4;"2025-01-03";"FD";4;55;1;""
207;13;"2025-01-03";"FD";6;98;1;""
208;11;"2025-01-03";"FD";6;99;1;""
209;15;"2025-01-03";"FD";8;168;1;""
210;1;"2025-01-03";"FD";8;169;1;""
211;3;"2025-01-03";"FD";17;231;1;""
212;16;"2025-01-03";"FD";19;245;1;""
213;12;"2025-01-03";"FD";19;246;1;""
214;10;"2025-01-03";"FD";19;247;1;""
215;2;"2025-01-03";"FD";19;248;1;""
216;7;"2025-01-03";"FD";36;289;1;"gender - Robot (w/ YONG)"
217;5;"2025-01-03";"FD";50;300;1;""
218;9;"2025-04-04";"FD";2;8;1;""
219;8;"2025-04-04";"FD";4;53;1;""
220;6;"2025-04-04";"FD";4;54;1;"0730-1700"
221;4;"2025-04-04";"FD";4;55;1;""
222;13;"2025-04-04";"FD";6;98;1;""
223;11;"2025-04-04";"FD";6;99;1;""
224;15;"2025-04-04";"FD";8;168;1;""
225;1;"2025-04-04";"FD";8;169;1;""
226;3;"2025-04-04";"FD";17;231;1;""
227;16;"2025-04-04";"FD";19;245;1;""
228;12;"2025-04-04";"FD";19;246;1;""
229;10;"2025-04-04";"FD";19;247;1;""
230;2;"2025-04-04";"FD";19;248;1;""
231;7;"2025-04-04";"FD";36;289;1;"gender - Robot (w/ YONG)"
232;5;"2025-04-04";"FD";50;300;1;""
233;9;"2025-05-02";"FD";2;8;1;""
234;8;"2025-05-02";"FD";4;53;1;""
235;6;"2025-05-02";"FD";4;54;1;"0730-1700"
236;4;"2025-05-02";"FD";4;55;1;""
237;13;"2025-05-02";"FD";6;98;1;""
238;11;"2025-05-02";"FD";6;99;1;""
239;15;"2025-05-02";"FD";8;168;1;""
240;1;"2025-05-02";"FD";8;169;1;""
241;3;"2025-05-02";"FD";17;231;1;""
242;16;"2025-05-02";"FD";19;245;1;""
243;12;"2025-05-02";"FD";19;246;1;""
244;10;"2025-05-02";"FD";19;247;1;""
245;2;"2025-05-02";"FD";19;248;1;""
246;7;"2025-05-02";"FD";36;289;1;"gender - Robot (w/ YONG)"
247;5;"2025-05-02";"FD";50;300;1;""
248;9;"2025-07-04";"FD";2;8;1;""
249;8;"2025-07-04";"FD";4;53;1;""
250;6;"2025-07-04";"FD";4;54;1;"0730-1700"
251;4;"2025-07-04";"FD";4;55;1;""
252;13;"2025-07-04";"FD";6;98;1;""
253;11;"2025-07-04";"FD";6;99;1;""
254;15;"2025-07-04";"FD";8;168;1;""
255;1;"2025-07-04";"FD";8;169;1;""
256;3;"2025-07-04";"FD";17;231;1;""
257;16;"2025-07-04";"FD";19;245;1;""
258;12;"2025-07-04";"FD";19;246;1;""
259;10;"2025-07-04";"FD";19;247;1;""
260;2;"2025-07-04";"FD";19;248;1;""
261;7;"2025-07-04";"FD";36;289;1;"gender - Robot (w/ YONG)"
262;5;"2025-07-04";"FD";50;300;1;""
263;9;"2025-08-01";"FD";2;8;1;""
264;8;"2025-08-01";"FD";4;53;1;""
265;6;"2025-08-01";"FD";4;54;1;"0730-1700"
266;4;"2025-08-01";"FD";4;55;1;""
267;13;"2025-08-01";"FD";6;98;1;""
268;11;"2025-08-01";"FD";6;99;1;""
269;15;"2025-08-01";"FD";8;168;1;""
270;1;"2025-08-01";"FD";8;169;1;""
271;3;"2025-08-01";"FD";17;231;1;""
272;16;"2025-08-01";"FD";19;245;1;""
273;12;"2025-08-01";"FD";19;246;1;""
274;10;"2025-08-01";"FD";19;247;1;""
275;2;"2025-08-01";"FD";19;248;1;""
276;7;"2025-08-01";"FD";36;289;1;"gender - Robot (w/ YONG)"
277;5;"2025-08-01";"FD";50;300;1;""
278;9;"2025-09-05";"FD";2;8;1;""
279;8;"2025-09-05";"FD";4;53;1;""
280;6;"2025-09-05";"FD";4;54;1;"0730-1700"
281;4;"2025-09-05";"FD";4;55;1;""
282;13;"2025-09-05";"FD";6;98;1;""
283;11;"2025-09-05";"FD";6;99;1;""
284;15;"2025-09-05";"FD";8;168;1;""
285;1;"2025-09-05";"FD";8;169;1;""
286;3;"2025-09-05";"FD";17;231;1;""
287;16;"2025-09-05";"FD";19;245;1;""
288;12;"2025-09-05";"FD";19;246;1;""
289;10;"2025-09-05";"FD";19;247;1;""
290;2;"2025-09-05";"FD";19;248;1;""
291;7;"2025-09-05";"FD";36;289;1;"gender - Robot (w/ YONG)"
292;5;"2025-09-05";"FD";50;300;1;""
293;9;"2025-10-03";"FD";2;8;1;""
294;8;"2025-10-03";"FD";4;53;1;""
295;6;"2025-10-03";"FD";4;54;1;"0730-1700"
296;4;"2025-10-03";"FD";4;55;1;""
297;13;"2025-10-03";"FD";6;98;1;""
298;11;"2025-10-03";"FD";6;99;1;""
299;15;"2025-10-03";"FD";8;168;1;""
300;1;"2025-10-03";"FD";8;169;1;""
301;3;"2025-10-03";"FD";17;231;1;""
302;16;"2025-10-03";"FD";19;245;1;""
303;12;"2025-10-03";"FD";19;246;1;""
304;10;"2025-10-03";"FD";19;247;1;""
305;2;"2025-10-03";"FD";19;248;1;""
306;7;"2025-10-03";"FD";36;289;1;"gender - Robot (w/ YONG)"
307;5;"2025-10-03";"FD";50;300;1;""
308;9;"2025-12-05";"FD";2;8;1;""
309;8;"2025-12-05";"FD";4;53;1;""
310;6;"2025-12-05";"FD";4;54;1;"0730-1700"
311;4;"2025-12-05";"FD";4;55;1;""
312;13;"2025-12-05";"FD";6;98;1;""
313;11;"2025-12-05";"FD";6;99;1;""
314;15;"2025-12-05";"FD";8;168;1;""
315;1;"2025-12-05";"FD";8;169;1;""
316;3;"2025-12-05";"FD";17;231;1;""
317;16;"2025-12-05";"FD";19;245;1;""
318;12;"2025-12-05";"FD";19;246;1;""
319;10;"2025-12-05";"FD";19;247;1;""
320;2;"2025-12-05";"FD";19;248;1;""
321;7;"2025-12-05";"FD";36;289;1;"gender - Robot (w/ YONG)"
322;5;"2025-12-05";"FD";50;300;1;""
323;8;"2025-01-06";"FD";2;40;1;""
324;7;"2025-01-06";"FD";2;41;1;""
325;12;"2025-01-06";"FD";6;155;1;""
326;6;"2025-01-06";"FD";6;156;1;""
327;13;"2025-01-06";"FD";8;192;1;""
328;10;"2025-01-06";"FD";10;199;1;""
329;11;"2025-01-06";"FD";11;219;1;""
330;2;"2025-01-06";"AM";14;224;1;""
331;1;"2025-01-06";"FD";79;225;1;""
332;2;"2025-01-06";"PM";16;227;1;""
333;4;"2025-01-06";"FD";17;241;1;""
334;3;"2025-01-06";"FD";11;242;1;""
335;16;"2025-01-06";"FD";19;252;1;""
336;5;"2025-01-06";"FD";19;253;1;""
337;14;"2025-01-06";"FD";23;277;1;""
338;15;"2025-01-06";"FD";27;288;1;""
339;8;"2025-02-03";"FD";2;40;1;""
340;7;"2025-02-03";"FD";2;41;1;""
341;12;"2025-02-03";"FD";6;155;1;""
342;6;"2025-02-03";"FD";6;156;1;""
343;13;"2025-02-03";"FD";8;192;1;""
344;10;"2025-02-03";"FD";10;199;1;""
345;11;"2025-02-03";"FD";11;219;1;""
346;2;"2025-02-03";"AM";14;224;1;""
347;1;"2025-02-03";"FD";79;225;1;""
348;2;"2025-02-03";"PM";16;227;1;""
349;4;"2025-02-03";"FD";17;241;1;""
350;3;"2025-02-03";"FD";11;242;1;""
351;16;"2025-02-03";"FD";19;252;1;""
352;5;"2025-02-03";"FD";19;253;1;""
353;14;"2025-02-03";"FD";23;277;1;""
354;15;"2025-02-03";"FD";27;288;1;""
355;8;"2025-03-03";"FD";2;40;1;""
356;7;"2025-03-03";"FD";2;41;1;""
357;12;"2025-03-03";"FD";6;155;1;""
358;6;"2025-03-03";"FD";6;156;1;""
359;13;"2025-03-03";"FD";8;192;1;""
360;10;"2025-03-03";"FD";10;199;1;""
361;11;"2025-03-03";"FD";11;219;1;""
362;2;"2025-03-03";"AM";14;224;1;""
363;1;"2025-03-03";"FD";79;225;1;""
364;2;"2025-03-03";"PM";16;227;1;""
365;4;"2025-03-03";"FD";17;241;1;""
366;3;"2025-03-03";"FD";11;242;1;""
367;16;"2025-03-03";"FD";19;252;1;""
368;5;"2025-03-03";"FD";19;253;1;""
369;14;"2025-03-03";"FD";23;277;1;""
370;15;"2025-03-03";"FD";27;288;1;""
371;8;"2025-04-07";"FD";2;40;1;""
372;7;"2025-04-07";"FD";2;41;1;""
373;12;"2025-04-07";"FD";6;155;1;""
374;6;"2025-04-07";"FD";6;156;1;""
375;13;"2025-04-07";"FD";8;192;1;""
376;10;"2025-04-07";"FD";10;199;1;""
377;11;"2025-04-07";"FD";11;219;1;""
378;2;"2025-04-07";"AM";14;224;1;""
379;1;"2025-04-07";"FD";79;225;1;""
380;2;"2025-04-07";"PM";16;227;1;""
381;4;"2025-04-07";"FD";17;241;1;""
382;3;"2025-04-07";"FD";11;242;1;""
383;16;"2025-04-07";"FD";19;252;1;""
384;5;"2025-04-07";"FD";19;253;1;""
385;14;"2025-04-07";"FD";23;277;1;""
386;15;"2025-04-07";"FD";27;288;1;""
387;8;"2025-05-05";"FD";2;40;1;""
388;7;"2025-05-05";"FD";2;41;1;""
389;12;"2025-05-05";"FD";6;155;1;""
390;6;"2025-05-05";"FD";6;156;1;""
391;13;"2025-05-05";"FD";8;192;1;""
392;10;"2025-05-05";"FD";10;199;1;""
393;11;"2025-05-05";"FD";11;219;1;""
394;2;"2025-05-05";"AM";14;224;1;""
395;1;"2025-05-05";"FD";79;225;1;""
396;2;"2025-05-05";"PM";16;227;1;""
397;4;"2025-05-05";"FD";17;241;1;""
398;3;"2025-05-05";"FD";11;242;1;""
399;16;"2025-05-05";"FD";19;252;1;""
400;5;"2025-05-05";"FD";19;253;1;""
401;14;"2025-05-05";"FD";23;277;1;""
402;15;"2025-05-05";"FD";27;288;1;""
403;8;"2025-06-02";"FD";2;40;1;""
404;7;"2025-06-02";"FD";2;41;1;""
405;12;"2025-06-02";"FD";6;155;1;""
406;6;"2025-06-02";"FD";6;156;1;""
407;13;"2025-06-02";"FD";8;192;1;""
408;10;"2025-06-02";"FD";10;199;1;""
409;11;"2025-06-02";"FD";11;219;1;""
410;2;"2025-06-02";"AM";14;224;1;""
411;1;"2025-06-02";"FD";79;225;1;""
412;2;"2025-06-02";"PM";16;227;1;""
413;4;"2025-06-02";"FD";17;241;1;""
414;3;"2025-06-02";"FD";11;242;1;""
415;16;"2025-06-02";"FD";19;252;1;""
416;5;"2025-06-02";"FD";19;253;1;""
417;14;"2025-06-02";"FD";23;277;1;""
418;15;"2025-06-02";"FD";27;288;1;""
419;8;"2025-07-07";"FD";2;40;1;""
420;7;"2025-07-07";"FD";2;41;1;""
421;12;"2025-07-07";"FD";6;155;1;""
422;6;"2025-07-07";"FD";6;156;1;""
423;13;"2025-07-07";"FD";8;192;1;""
424;10;"2025-07-07";"FD";10;199;1;""
425;11;"2025-07-07";"FD";11;219;1;""
426;2;"2025-07-07";"AM";14;224;1;""
427;1;"2025-07-07";"FD";79;225;1;""
428;2;"2025-07-07";"PM";16;227;1;""
429;4;"2025-07-07";"FD";17;241;1;""
430;3;"2025-07-07";"FD";11;242;1;""
431;16;"2025-07-07";"FD";19;252;1;""
432;5;"2025-07-07";"FD";19;253;1;""
433;14;"2025-07-07";"FD";23;277;1;""
434;15;"2025-07-07";"FD";27;288;1;""
435;8;"2025-08-04";"FD";2;40;1;""
436;7;"2025-08-04";"FD";2;41;1;""
437;12;"2025-08-04";"FD";6;155;1;""
438;6;"2025-08-04";"FD";6;156;1;""
439;13;"2025-08-04";"FD";8;192;1;""
440;10;"2025-08-04";"FD";10;199;1;""
441;11;"2025-08-04";"FD";11;219;1;""
442;2;"2025-08-04";"AM";14;224;1;""
443;1;"2025-08-04";"FD";79;225;1;""
444;2;"2025-08-04";"PM";16;227;1;""
445;4;"2025-08-04";"FD";17;241;1;""
446;3;"2025-08-04";"FD";11;242;1;""
447;16;"2025-08-04";"FD";19;252;1;""
448;5;"2025-08-04";"FD";19;253;1;""
449;14;"2025-08-04";"FD";23;277;1;""
450;15;"2025-08-04";"FD";27;288;1;""
451;8;"2025-09-08";"FD";2;40;1;""
452;7;"2025-09-08";"FD";2;41;1;""
453;12;"2025-09-08";"FD";6;155;1;""
454;6;"2025-09-08";"FD";6;156;1;""
455;13;"2025-09-08";"FD";8;192;1;""
456;10;"2025-09-08";"FD";10;199;1;""
457;11;"2025-09-08";"FD";11;219;1;""
458;2;"2025-09-08";"AM";14;224;1;""
459;1;"2025-09-08";"FD";79;225;1;""
460;2;"2025-09-08";"PM";16;227;1;""
461;4;"2025-09-08";"FD";17;241;1;""
462;3;"2025-09-08";"FD";11;242;1;""
463;16;"2025-09-08";"FD";19;252;1;""
464;5;"2025-09-08";"FD";19;253;1;""
465;14;"2025-09-08";"FD";23;277;1;""
466;15;"2025-09-08";"FD";27;288;1;""
467;8;"2025-10-06";"FD";2;40;1;""
468;7;"2025-10-06";"FD";2;41;1;""
469;12;"2025-10-06";"FD";6;155;1;""
470;6;"2025-10-06";"FD";6;156;1;""
471;13;"2025-10-06";"FD";8;192;1;""
472;10;"2025-10-06";"FD";10;199;1;""
473;11;"2025-10-06";"FD";11;219;1;""
474;2;"2025-10-06";"AM";14;224;1;""
475;1;"2025-10-06";"FD";79;225;1;""
476;2;"2025-10-06";"PM";16;227;1;""
477;4;"2025-10-06";"FD";17;241;1;""
478;3;"2025-10-06";"FD";11;242;1;""
479;16;"2025-10-06";"FD";19;252;1;""
480;5;"2025-10-06";"FD";19;253;1;""
481;14;"2025-10-06";"FD";23;277;1;""
482;15;"2025-10-06";"FD";27;288;1;""
483;8;"2025-11-03";"FD";2;40;1;""
484;7;"2025-11-03";"FD";2;41;1;""
485;12;"2025-11-03";"FD";6;155;1;""
486;6;"2025-11-03";"FD";6;156;1;""
487;13;"2025-11-03";"FD";8;192;1;""
488;10;"2025-11-03";"FD";10;199;1;""
489;11;"2025-11-03";"FD";11;219;1;""
490;2;"2025-11-03";"AM";14;224;1;""
491;1;"2025-11-03";"FD";79;225;1;""
492;2;"2025-11-03";"PM";16;227;1;""
493;4;"2025-11-03";"FD";17;241;1;""
494;3;"2025-11-03";"FD";11;242;1;""
495;16;"2025-11-03";"FD";19;252;1;""
496;5;"2025-11-03";"FD";19;253;1;""
497;14;"2025-11-03";"FD";23;277;1;""
498;15;"2025-11-03";"FD";27;288;1;""
499;8;"2025-12-08";"FD";2;40;1;""
500;7;"2025-12-08";"FD";2;41;1;""
501;12;"2025-12-08";"FD";6;155;1;""
502;6;"2025-12-08";"FD";6;156;1;""
503;13;"2025-12-08";"FD";8;192;1;""
504;10;"2025-12-08";"FD";10;199;1;""
505;11;"2025-12-08";"FD";11;219;1;""
506;2;"2025-12-08";"AM";14;224;1;""
507;1;"2025-12-08";"FD";79;225;1;""
508;2;"2025-12-08";"PM";16;227;1;""
509;4;"2025-12-08";"FD";17;241;1;""
510;3;"2025-12-08";"FD";11;242;1;""
511;16;"2025-12-08";"FD";19;252;1;""
512;5;"2025-12-08";"FD";19;253;1;""
513;14;"2025-12-08";"FD";23;277;1;""
514;15;"2025-12-08";"FD";27;288;1;""
515;2;"2025-01-07";"FD";2;32;1;""
516;4;"2025-01-07";"FD";4;76;1;""
517;10;"2025-01-07";"FD";8;183;1;""
518;6;"2025-01-07";"FD";50;314;1;""
519;5;"2025-01-07";"FD";50;315;1;""
520;11;"2025-01-07";"FD";86;334;1;""
521;15;"2025-01-07";"FD";91;339;1;""
522;1;"2025-01-07";"FD";91;340;1;""
523;7;"2025-01-07";"FD";93;341;1;""
524;3;"2025-01-07";"FD";93;342;1;""
525;13;"2025-01-07";"FD";23;345;1;""
526;8;"2025-01-07";"FD";516;346;1;""
527;14;"2025-01-07";"FD";99;347;1;""
528;12;"2025-01-07";"FD";102;353;1;""
529;16;"2025-01-07";"FD";105;354;1;""
530;2;"2025-02-04";"FD";2;32;1;""
531;4;"2025-02-04";"FD";4;76;1;""
532;10;"2025-02-04";"FD";8;183;1;""
533;6;"2025-02-04";"FD";50;314;1;""
534;5;"2025-02-04";"FD";50;315;1;""
535;11;"2025-02-04";"FD";86;334;1;""
536;15;"2025-02-04";"FD";91;339;1;""
537;1;"2025-02-04";"FD";91;340;1;""
538;7;"2025-02-04";"FD";93;341;1;""
539;3;"2025-02-04";"FD";93;342;1;""
540;13;"2025-02-04";"FD";23;345;1;""
541;8;"2025-02-04";"FD";516;346;1;""
542;14;"2025-02-04";"FD";99;347;1;""
543;12;"2025-02-04";"FD";102;353;1;""
544;16;"2025-02-04";"FD";105;354;1;""
545;2;"2025-03-04";"FD";2;32;1;""
546;4;"2025-03-04";"FD";4;76;1;""
547;10;"2025-03-04";"FD";8;183;1;""
548;6;"2025-03-04";"FD";50;314;1;""
549;5;"2025-03-04";"FD";50;315;1;""
550;11;"2025-03-04";"FD";86;334;1;""
551;15;"2025-03-04";"FD";91;339;1;""
552;1;"2025-03-04";"FD";91;340;1;""
553;7;"2025-03-04";"FD";93;341;1;""
554;3;"2025-03-04";"FD";93;342;1;""
555;13;"2025-03-04";"FD";23;345;1;""
556;8;"2025-03-04";"FD";516;346;1;""
557;14;"2025-03-04";"FD";99;347;1;""
558;12;"2025-03-04";"FD";102;353;1;""
559;16;"2025-03-04";"FD";105;354;1;""
560;2;"2025-04-08";"FD";2;32;1;""
561;4;"2025-04-08";"FD";4;76;1;""
562;10;"2025-04-08";"FD";8;183;1;""
563;6;"2025-04-08";"FD";50;314;1;""
564;5;"2025-04-08";"FD";50;315;1;""
565;11;"2025-04-08";"FD";86;334;1;""
566;15;"2025-04-08";"FD";91;339;1;""
567;1;"2025-04-08";"FD";91;340;1;""
568;7;"2025-04-08";"FD";93;341;1;""
569;3;"2025-04-08";"FD";93;342;1;""
